시도명,시군구명,상호명,소재지도로명주소,업종,흡연실구분,흡연시설형태,데이터기준일자,
서울특별시,마포구,동성빌딩,서울특별시 마포구 양화로 196 (동교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,더피플빌딩,서울특별시 마포구 신촌로12길 4 (동교동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,지학사(본관),서울특별시 마포구 신촌로6길 5 (동교동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,유티엘동교빌딩,서울특별시 마포구 양화로19길 22-16 (동교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,㈜사회평론,서울특별시 마포구 월드컵북로6길 56 (동교동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,민턴빌딩,서울특별시 마포구 월드컵북로6길 46 (동교동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,진평925,서울특별시 마포구 망원로 87 (망원동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,청현빌딩,서울특별시 마포구 방울내로 83 (망원동),사무용건축물,공장 및 복합건축물,실외,완전폐쇄형,44669.0,
서울특별시,마포구,문화방송(경영센터),서울특별시 마포구 성암로 255 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,문화방송(방송센터),서울특별시 마포구 성암로 255 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,MBC,서울특별시 마포구 성암로 267 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,이안상암오피스텔1단지,서울특별시 마포구 월드컵북로 375 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,이안상암오피스텔2단지,서울특별시 마포구 월드컵북로 361 이안상암2단지,사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,고산빌딩,서울특별시 마포구 월드컵북로9길 27 (성산동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,덕산빌딩,서울특별시 마포구 성미산로 34 (성산동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,성동빌딩,서울특별시 마포구 잔다리로 120 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,명빌딩,서울특별시 마포구 월드컵로 94 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,우리금융상암센터,서울특별시 마포구 월드컵북로60길 17 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,나눔빌딩오피스텔,서울특별시 마포구 도화길 43 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,삼미빌딩,서울특별시 마포구 월드컵로 61 (망원동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,성화빌딩,서울특별시 마포구 월드컵로14길 42 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,하이뷰오피스텔,서울특별시 마포구 잔다리로 104 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서교오피스텔,서울특별시 마포구 잔다리로104-1 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,현주오피스텔,서울특별시 마포구 잔다리로106 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,중소기업DMC타워,서울특별시 마포구 성암로 189 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,KBS미디어센터,서울특별시 마포구 매봉산로 45 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,CJ E&M 센터,서울특별시 마포구 상암산로 66 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,트루텍빌딩,서울특별시 마포구 월드컵북로56길 12 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,㈜우리기술빌딩,서울특별시 마포구 월드컵북로56길 9 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,성명빌딩,서울특별시 마포구 월드컵북로6길 49 (연남동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,지남빌딩,서울특별시 마포구 동교로27길 53 (연남동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,태화샘솟는집,서울특별시 마포구 마포대로 173-20 (아현동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,마포경찰서(본관),서울특별시 마포구 마포대로 183 (아현동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,대정빌딩,서울특별시 마포구 월드컵북로 82 (성산동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서교빌딩,서울특별시 마포구 동교로23길 115 (성산동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서울연희실용전문학교,서울특별시 마포구 월드컵북로 128 (성산동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
